title,authors,publication_date,file_path,topics,specialties,clinical_significance,patient_population,pmid,doi,reading_time_minutes,pubmed_enriched
Oral NSAIDs vs. Other Oral Analgesic Agents for Acute Soft Tissue Injury.,"['Clebak, Karl T', 'Weaver, Lynn K', 'Croad, Jason R']",2023-01-01,2023/01/oral-nsaids-vs-other-oral-analgesic-agents-for-acute-soft-ti.md,['Family Medicine'],['Family Medicine'],High,Adults,36689963,,1,True
"Pharmacogenomic Testing for Selection of Antidepressant Provides Minimal, If Any, Benefit.","['Slawson, David C']",2023-01-01,2023/01/pharmacogenomic-testing-for-selection-of-antidepressant-prov.md,['Family Medicine'],['Family Medicine'],High,Adults,36689984,,1,True
Physical Activity in Patients With Type 2 Diabetes Mellitus: Updated Consensus Statement From the ACSM.,"['Crossman, Emily L']",2023-01-01,2023/01/physical-activity-in-patients-with-type-2-diabetes-mellitus.md,"['Diabetes Mellitus', 'Endocrinology', 'Family Medicine', 'Metabolic Disorders']",['Family Medicine'],High,Adults,36689953,,1,True
Polyarticular Joint Pain in Adults: Evaluation and Differential Diagnosis.,"['Foster, Zoë J', 'Day, Alvin Lee', 'Miller, Jesse']",2023-01-01,2023/01/polyarticular-joint-pain-in-adults-evaluation-and-differenti.md,['Family Medicine'],['Family Medicine'],High,Adults,36689970,,10,True
Potassium Disorders: Hypokalemia and Hyperkalemia.,"['Kim, Michael J', 'Valerio, Christina', 'Knobloch, Glynnis K']",2023-01-01,2023/01/potassium-disorders-hypokalemia-and-hyperkalemia.md,"['Family Medicine', 'Digestive Disorders', 'Gastroenterology']",['Family Medicine'],High,Adults,36689973,,2,True
Potassium: What If I Have Too Much or Not Enough?,[],2023-01-01,2023/01/potassium-what-if-i-have-too-much-or-not-enough.md,['Family Medicine'],['Family Medicine'],High,Adults,36689974,,1,True
"Rapidly Progressing, Blistering Skin Condition.","['Dillard, Darren', 'Hedstrom, Connor']",2023-01-01,2023/01/rapidly-progressing-blistering-skin-condition.md,['Family Medicine'],['Family Medicine'],High,Adults,36689979,,1,True
Recognizing Differing Evidence in the Literature.,"['Cayley, William E']",2023-01-01,2023/01/recognizing-differing-evidence-in-the-literature.md,['Family Medicine'],['Family Medicine'],High,Adults,36689954,,1,True
SGLT-2 Inhibitors for Cardiovascular Outcomes in Heart Failure With Preserved Ejection Fraction.,"['Carek, Stephen', 'Yurgil, Jacqueline', 'Mounsey, Anne']",2023-01-01,2023/01/sglt-2-inhibitors-for-cardiovascular-outcomes-in-heart-failu.md,['Family Medicine'],['Family Medicine'],High,Adults,36689977,,1,True
Screening for Atrial Fibrillation in Primary Care Is Not Effective.,"['Ebell, Mark H']",2023-01-01,2023/01/screening-for-atrial-fibrillation-in-primary-care-is-not-eff.md,"['Screening', 'Family Medicine', 'Prevention', 'Early Detection']",['Family Medicine'],High,Adults,36689983,,1,True
Screening for Prediabetes and Type 2 Diabetes in Children and Adolescents.,"['Mills, Justin', 'Barnhart, Helen']",2023-01-01,2023/01/screening-for-prediabetes-and-type-2-diabetes-in-children-an.md,"['Metabolic Disorders', 'Prevention', 'Screening', 'Early Detection', 'Diabetes Mellitus', 'Endocrinology', 'Family Medicine']",['Family Medicine'],High,Pediatric,36689976,,1,True
Semaglutide (Wegovy) for the Treatment of Obesity.,"['Bald, Elizabeth', 'Raber, Hanna']",2023-01-01,2023/01/semaglutide-wegovy-for-the-treatment-of-obesity.md,"['Diabetes Mellitus', 'Endocrinology', 'Family Medicine', 'Metabolic Disorders']",['Family Medicine'],High,Adults,36689981,,1,True
Similar Functional Outcomes After Treating Minimally Displaced or Nondisplaced Scaphoid Waist Fractures With Surgery or Immobilization.,"['Barry, Henry C']",2023-01-01,2023/01/similar-functional-outcomes-after-treating-minimally-displac.md,['Family Medicine'],['Family Medicine'],High,Adults,36689985,,1,True
Temporomandibular Disorders.,[],2023-01-01,2023/01/temporomandibular-disorders.md,['Family Medicine'],['Family Medicine'],High,Adults,36689972,,4,True
Temporomandibular Disorders: Rapid Evidence Review.,"['Matheson, Eric M', 'Fermo, Joli D', 'Blackwelder, Russell S']",2023-01-01,2023/01/temporomandibular-disorders-rapid-evidence-review.md,['Family Medicine'],['Family Medicine'],High,Adults,36689971,,4,True
Tirzepatide Helps Adults With Obesity Without Diabetes Lose 15% to 21% of Their Body Weight Over 72 Weeks.,"['Ebell, Mark H']",2023-01-01,2023/01/tirzepatide-helps-adults-with-obesity-without-diabetes-lose.md,"['Diabetes Mellitus', 'Endocrinology', 'Family Medicine', 'Metabolic Disorders']",['Family Medicine'],High,Adults,36689986,,1,True
Tonsil Stones.,[],2023-01-01,2023/01/tonsil-stones.md,['Family Medicine'],['Family Medicine'],High,Adults,36689969,,1,True
Tonsillitis (Strep Throat).,[],2023-01-01,2023/01/tonsillitis-strep-throat.md,['Family Medicine'],['Family Medicine'],High,Adults,36689968,,1,True
Tonsillitis and Tonsilloliths: Diagnosis and Management.,"['Smith, Kelly Lacy', 'Hughes, Rachel', 'Myrex, Palee']",2023-01-01,2023/01/tonsillitis-and-tonsilloliths-diagnosis-and-management.md,['Family Medicine'],['Family Medicine'],High,Adults,36689967,,2,True
Women With a History of Gestational Diabetes Mellitus Should Be Screened for Prediabetes and Diabetes.,"['Tracer, Howard']",2023-01-01,2023/01/women-with-a-history-of-gestational-diabetes-mellitus-should.md,"['Metabolic Disorders', 'Obstetrics', 'Pregnancy', 'Maternal Health', 'Diabetes Mellitus', 'Endocrinology', 'Family Medicine']",['Family Medicine'],High,Adults,36689957,,1,True
Acute Diverticulitis: Diagnosis and Treatment Recommendations From the ACP.,"['Seales, Sajeewane M', 'Jones, Andre L', 'Neff, Katharine L']",2023-02-01,2023/02/acute-diverticulitis-diagnosis-and-treatment-recommendations.md,['Family Medicine'],['Family Medicine'],High,Adults,36791429,,1,True
Acute Otitis Externa (Swimmer's Ear).,[],2023-02-01,2023/02/acute-otitis-externa-swimmer-s-ear.md,['Family Medicine'],['Family Medicine'],High,Adults,36791446,,5,True
Acute Otitis Externa (Swimmer's Ear).,[],2023-02-01,2023/02/acute-otitis-externa-swimmers-ear.md,['Family Medicine'],['Family Medicine'],High,Adults,36791446,,5,True
Acute Otitis Externa: Rapid Evidence Review.,"['Jackson, Edward A', 'Geer, Kamini']",2023-02-01,2023/02/acute-otitis-externa-rapid-evidence-review.md,"['Metabolic Disorders', 'Infectious Disease', 'Antimicrobial Therapy', 'Diabetes Mellitus', 'Endocrinology', 'Family Medicine', 'Pharmacology']",['Family Medicine'],High,Pediatric,36791445,,5,True
Alcohol Use Disorder Following Metabolic Surgery.,"['Sonoda, Kento']",2023-02-01,2023/02/alcohol-use-disorder-following-metabolic-surgery.md,['Family Medicine'],['Family Medicine'],High,Adults,36791459,,1,True
Case Report: Induced Lactation in an Adoptive Parent.,"['Glover, Kevin', 'Casey, Jeremy Jie', 'Gilbert, Molly']",2023-02-01,2023/02/case-report-induced-lactation-in-an-adoptive-parent.md,['Family Medicine'],['Family Medicine'],High,Adults,36791458,,1,True
Case Report: Onychodystrophy From Late-Onset Congenital Malalignment of the Great Toenails.,"['Lim, Shi Yu Derek', 'Cheng, Wei Na Suzanne']",2023-02-01,2023/02/case-report-onychodystrophy-from-late-onset-congenital-malal.md,['Family Medicine'],['Family Medicine'],High,Adults,36791457,,1,True
Chest Pain Evaluation: Updated Guidelines From the AHA/ACC.,"['Buelt, Andrew', 'Kennady, Jack', 'Arnold, Michael']",2023-02-01,2023/02/chest-pain-evaluation-updated-guidelines-from-the-ahaacc.md,['Family Medicine'],['Family Medicine'],High,Adults,36791430,,1,True
Chest Pain Evaluation: Updated Guidelines From the AHA/ACC.,"['Buelt, Andrew', 'Kennady, Jack', 'Arnold, Michael']",2023-02-01,2023/02/chest-pain-evaluation-updated-guidelines-from-the-aha-acc.md,['Family Medicine'],['Family Medicine'],High,Adults,36791430,,1,True
Chronic Disease Management During Ramadan.,"['Waqar, Salman', 'Ghouri, Nazim', 'Awaad, Rania']",2023-02-01,2023/02/chronic-disease-management-during-ramadan.md,"['Metabolic Disorders', 'Chronic Disease Management', 'Long-term Care', 'Diabetes Mellitus', 'Endocrinology', 'Family Medicine']",['Family Medicine'],High,Adults,36791453,,1,True
Common Skin Conditions During Pregnancy.,"['Erlandson, Michael', 'Wertz, Maggie C', 'Rosenfeld, Emily']",2023-02-01,2023/02/common-skin-conditions-during-pregnancy.md,"['Family Medicine', 'Pregnancy', 'Maternal Health', 'Obstetrics']",['Family Medicine'],High,Maternal,36791447,,1,True
Comparing Clinical Guidelines for the Management of Major Depressive Disorder.,"['Buelt, Andrew', 'McQuaid, John R']",2023-02-01,2023/02/comparing-clinical-guidelines-for-the-management-of-major-de.md,['Family Medicine'],['Family Medicine'],High,Adults,36791452,,1,True
Diary of a Family Physician.,"['Bradley, Megan', 'Humpherys, Dwight']",2023-02-01,2023/02/diary-of-a-family-physician.md,['Family Medicine'],['Family Medicine'],High,Adults,36791438,,1,True
Enoxaparin Is Better Than Aspirin for the Prevention of Venous Thromboembolism After Total Hip or Knee Arthroplasty.,"['Kulkarni, Nita Shrikant']",2023-02-01,2023/02/enoxaparin-is-better-than-aspirin-for-the-prevention-of-veno.md,['Family Medicine'],['Family Medicine'],High,Adults,36791434,,1,True
Fibromyalgia: Diagnosis and Management.,"['Winslow, Bradford T', 'Vandal, Carmen', 'Dang, Laurel']",2023-02-01,2023/02/fibromyalgia-diagnosis-and-management.md,"['Screening', 'Family Medicine', 'Prevention', 'Early Detection']",['Family Medicine'],High,Adults,36791450,,1,True
Guaiac-Based FOBTs vs. FITs for Colorectal Cancer Screening in Average-Risk Adults.,"['Williams, Alan L', 'Seales, Sajeewane M']",2023-02-01,2023/02/guaiac-based-fobts-vs-fits-for-colorectal-cancer-screening-i.md,"['Family Medicine', 'Screening', 'Oncology', 'Early Detection', 'Prevention', 'Malignancy', 'Cancer Screening']",['Family Medicine'],High,Adults,36791449,,1,True
Hypotension in an Adult With ST-Segment Depressions.,"['Shah, Kartik R', 'Thacker, Charles']",2023-02-01,2023/02/hypotension-in-an-adult-with-st-segment-depressions.md,"['Psychiatry', 'Blood Pressure', 'Hypertension', 'Depression', 'Cardiovascular Disease', 'Mental Health', 'Family Medicine']",['Family Medicine'],High,Adults,36791436,,1,True
Information for Patients Living With Fibromyalgia.,[],2023-02-01,2023/02/information-for-patients-living-with-fibromyalgia.md,['Family Medicine'],['Family Medicine'],High,Adults,36791451,,1,True
Is Trazodone Effective and Safe for Treating Insomnia?,"['Albanese, Anita', 'Vukelic, Brian', 'Ose, Dominik', 'Taylor, Eliza', 'Fortenberry, Katherine T']",2023-02-01,2023/02/is-trazodone-effective-and-safe-for-treating-insomnia.md,['Family Medicine'],['Family Medicine'],High,Adults,36791437,,1,True
Ketorolac Plus Dexamethasone Is More Effective for Pain Relief Than Ketorolac Alone in Adults With Renal Colic.,"['Barry, Henry C']",2023-02-01,2023/02/ketorolac-plus-dexamethasone-is-more-effective-for-pain-reli.md,['Family Medicine'],['Family Medicine'],High,Adults,36791433,,1,True
"Likelihood of Long COVID Varies by Variant, Sex, and Vaccination Status.","['Slawson, David C']",2023-02-01,2023/02/likelihood-of-long-covid-varies-by-variant-sex-and-vaccinati.md,['Family Medicine'],['Family Medicine'],High,Adults,36791431,,1,True
Low FODMAP Diet Most Likely to Improve Symptoms in Patients With Irritable Bowel Syndrome.,"['Ebell, Mark H']",2023-02-01,2023/02/low-fodmap-diet-most-likely-to-improve-symptoms-in-patients.md,['Family Medicine'],['Family Medicine'],High,Adults,36791432,,1,True
Mu-Opioid Antagonists for the Treatment of Opioid-Induced Bowel Dysfunction.,"['Brown, Brandon', 'Price, S Tucker']",2023-02-01,2023/02/mu-opioid-antagonists-for-the-treatment-of-opioid-induced-bo.md,['Family Medicine'],['Family Medicine'],High,Adults,36791455,,1,True
Peptic Ulcer Disease and H. pylori Infection: Common Questions and Answers.,"['McConaghy, John R', 'Decker, Amara', 'Nair, Shalina']",2023-02-01,2023/02/peptic-ulcer-disease-and-h-pylori-infection-common-questions.md,['Family Medicine'],['Family Medicine'],High,Adults,36791443,,2,True
Pharmacologic Treatment of Depression.,"['Kovich, Heather', 'Kim, William', 'Quaste, Anthony M']",2023-02-01,2023/02/pharmacologic-treatment-of-depression.md,"['Psychiatry', 'Obstetrics', 'Depression', 'Pregnancy', 'Mental Health', 'Maternal Health', 'Family Medicine']",['Family Medicine'],High,Maternal,36791444,,7,True
Rapid Removal of a Bee Stinger.,"['Schmidt, Justin', 'Vetter, Richard S', 'Schmidt, Li']",2023-02-01,2023/02/rapid-removal-of-a-bee-stinger.md,['Family Medicine'],['Family Medicine'],High,Adults,36791456,,1,True
Schedule of Visits and Televisits for Routine Antenatal Care.,"['Rogers, Tyler S', 'Lushbough, Brendan']",2023-02-01,2023/02/schedule-of-visits-and-televisits-for-routine-antenatal-care.md,"['Family Medicine', 'Pregnancy', 'Maternal Health', 'Obstetrics']",['Family Medicine'],High,Adults,36791441,,1,True
Statin Use for the Primary Prevention of Cardiovascular Disease in Adults.,"['Tracer, Howard', 'Barnhart, Helen']",2023-02-01,2023/02/statin-use-for-the-primary-prevention-of-cardiovascular-dise.md,['Family Medicine'],['Family Medicine'],High,Adults,36791440,,1,True
Strategies for Topical Corticosteroid Use in Children and Adults With Eczema.,"['Stouffer, Jordan', 'Chang, Jennifer G']",2023-02-01,2023/02/strategies-for-topical-corticosteroid-use-in-children-and-ad.md,['Family Medicine'],['Family Medicine'],High,Pediatric,36791448,,1,True
The Importance of Inclusivity During the Spiritual Assessment.,"['Ventres, William B']",2023-02-01,2023/02/the-importance-of-inclusivity-during-the-spiritual-assessmen.md,['Family Medicine'],['Family Medicine'],High,Adults,36791460,,1,True
Treating Depression With Medicine.,[],2023-02-01,2023/02/treating-depression-with-medicine.md,"['Depression', 'Psychiatry', 'Family Medicine', 'Mental Health']",['Family Medicine'],High,Adults,36791439,,1,True
Trigger Point Management.,"['Shipton, Benjamin', 'Sagar, Sunkesula', 'Mall, Jennifer K']",2023-02-01,2023/02/trigger-point-management.md,['Family Medicine'],['Family Medicine'],High,Adults,36791442,,9,True
Violaceous Facial Nodules and Dermal Vascular Plaques on the Extremities.,"['Helm, Matthew', 'Chopra, Shara']",2023-02-01,2023/02/violaceous-facial-nodules-and-dermal-vascular-plaques-on-the.md,['Family Medicine'],['Family Medicine'],High,Adults,36791435,,1,True
ACIP Approves 2023 Child/Adolescent and Adult Immunization Schedules.,"['Rockwell, Pamela G']",2023-03-01,2023/03/acip-approves-2023-child-adolescent-and-adult-immunization-s.md,"['Vaccination', 'Family Medicine', 'Prevention', 'Immunization']",['Family Medicine'],High,Pediatric,36920803,,7,True
ACIP Approves 2023 Child/Adolescent and Adult Immunization Schedules.,"['Rockwell, Pamela G']",2023-03-01,2023/03/acip-approves-2023-childadolescent-and-adult-immunization-sc.md,"['Vaccination', 'Immunization', 'Family Medicine', 'Prevention']",['Family Medicine'],High,Pediatric,36920803,,7,True
Additional Considerations for the Microscopic Evaluation of Urine.,"['Cook, Joseph V']",2023-03-01,2023/03/additional-considerations-for-the-microscopic-evaluation-of.md,['Family Medicine'],['Family Medicine'],High,Adults,36920805,,7,True
"Amitriptyline, Duloxetine, and Pregabalin Each Effective in Decreasing Pain From Diabetic Peripheral Neuropathy; Combinations Even Better.","['Barry, Henry C']",2023-03-01,2023/03/amitriptyline-duloxetine-and-pregabalin-each-effective-in-de.md,"['Diabetes Mellitus', 'Endocrinology', 'Family Medicine', 'Metabolic Disorders']",['Family Medicine'],High,Adults,36920835,,7,True
Antiplatelet Agents for the Treatment of Deep Venous Thrombosis.,"['Reedy-Cooper, Alexis', 'Perez, Juan']",2023-03-01,2023/03/antiplatelet-agents-for-the-treatment-of-deep-venous-thrombo.md,['Family Medicine'],['Family Medicine'],High,Adults,36920811,,7,True
Black Fingernail Discoloration.,"['Al-Hashimi, Nada', 'Dhaliwal, Gurvinder']",2023-03-01,2023/03/black-fingernail-discoloration.md,['Family Medicine'],['Family Medicine'],High,Adults,36920830,,7,True
Case Report: Tinea Capitis in a 10-Year-Old Child.,"['Tshudy, Michael T', 'McCann, Shannan']",2023-03-01,2023/03/case-report-tinea-capitis-in-a-10-year-old-child.md,['Family Medicine'],['Family Medicine'],High,Adults,36920806,,7,True
Corticosteroids for Low Back Pain.,"['Haley, Sean P', 'Stem, Leah A']",2023-03-01,2023/03/corticosteroids-for-low-back-pain.md,['Family Medicine'],['Family Medicine'],High,Adults,36920810,,7,True
Diagnosing Appendicitis in Children and Adolescents With Abdominal Pain.,"['Ebell, Mark H']",2023-03-01,2023/03/diagnosing-appendicitis-in-children-and-adolescents-with-abd.md,['Family Medicine'],['Family Medicine'],High,Pediatric,36920828,,7,True
Distinguishing Asthma and COPD in Primary Care: A Case-based Approach.,"['Zeller, T Aaron', 'Beben, Katherine', 'Walker, Stephanie']",2023-03-01,2023/03/distinguishing-asthma-and-copd-in-primary-care-a-case-based.md,['Family Medicine'],['Family Medicine'],High,Adults,36920815,,7,True
Dry Needling for Low Back Pain.,"['Radi, Roxanne', 'Ng, Wesley', 'Simcoe, Raeanna', 'Lyon, Corey', 'DeSanto, Kristen']",2023-03-01,2023/03/dry-needling-for-low-back-pain.md,['Family Medicine'],['Family Medicine'],High,Adults,36920827,,7,True
Foot Orthoses for Treating Flat Feet in Children.,"['Barry, Kathleen', 'Pille, Craig']",2023-03-01,2023/03/foot-orthoses-for-treating-flat-feet-in-children.md,['Family Medicine'],['Family Medicine'],High,Pediatric,36920812,,7,True
Glaucoma.,[],2023-03-01,2023/03/glaucoma.md,['Family Medicine'],['Family Medicine'],High,Adults,36920818,,7,True
Glaucoma: Diagnosis and Management.,"['Michels, Thomas C', 'Ivan, Oana']",2023-03-01,2023/03/glaucoma-diagnosis-and-management.md,"['Metabolic Disorders', 'Prevention', 'Screening', 'Early Detection', 'Diabetes Mellitus', 'Endocrinology', 'Family Medicine']",['Family Medicine'],High,Adults,36920817,,7,True
Is There Evidence of ADHD Overdiagnosis in Children?,"['Wolf, Elizabeth', 'Sonenklar, Neil', 'Schefft, Matthew', 'Haskell, Helen', 'James, John']",2023-03-01,2023/03/is-there-evidence-of-adhd-overdiagnosis-in-children.md,['Family Medicine'],['Family Medicine'],High,Pediatric,36920825,,7,True
Lung Nodules.,[],2023-03-01,2023/03/lung-nodules.md,"['Malignancy', 'Family Medicine', 'Cancer Screening', 'Oncology']",['Family Medicine'],High,Adults,36920824,,7,True
Management of Major Depression: Guidelines From the VA/DoD.,"['Buelt, Andrew']",2023-03-01,2023/03/management-of-major-depression-guidelines-from-the-va-dod.md,"['Mental Health', 'Family Medicine', 'Depression', 'Psychiatry']",['Family Medicine'],High,Adults,36920804,,7,True
Management of Major Depression: Guidelines From the VA/DoD.,"['Buelt, Andrew']",2023-03-01,2023/03/management-of-major-depression-guidelines-from-the-vadod.md,"['Depression', 'Psychiatry', 'Family Medicine', 'Mental Health']",['Family Medicine'],High,Adults,36920804,,7,True
Multicancer Early Detection: A Promise Yet to Be Proven.,"['Doubeni, Chyke A', 'Castle, Philip E']",2023-03-01,2023/03/multicancer-early-detection-a-promise-yet-to-be-proven.md,"['Malignancy', 'Family Medicine', 'Cancer Screening', 'Oncology']",['Family Medicine'],High,Adults,36920808,,7,True
"Nirmatrelvir/Ritonavir Reduces Hospitalization, Mortality in Patients 65 Years and Older With COVID-19; Effect on Younger Patients Unclear.","['Ebell, Mark H']",2023-03-01,2023/03/nirmatrelvir-ritonavir-reduces-hospitalization-mortality-in.md,['Family Medicine'],['Family Medicine'],High,Adults,36920834,,7,True
"Nirmatrelvir/Ritonavir Reduces Hospitalization, Mortality in Patients 65 Years and Older With COVID-19; Effect on Younger Patients Unclear.","['Ebell, Mark H']",2023-03-01,2023/03/nirmatrelvirritonavir-reduces-hospitalization-mortality-in-p.md,['Family Medicine'],['Family Medicine'],High,Adults,36920834,,7,True
Osteoporosis.,[],2023-03-01,2023/03/osteoporosis.md,['Family Medicine'],['Family Medicine'],High,Adults,36920814,,7,True
Osteoporosis: Common Questions and Answers.,"['Harris, Kira', 'Zagar, Christopher A', 'Lawrence, Kelley V']",2023-03-01,2023/03/osteoporosis-common-questions-and-answers.md,"['Screening', 'Family Medicine', 'Prevention', 'Early Detection']",['Family Medicine'],High,Adults,36920813,,7,True
Polycystic Ovary Syndrome.,[],2023-03-01,2023/03/polycystic-ovary-syndrome.md,['Family Medicine'],['Family Medicine'],High,Adults,36920820,,7,True
Polycystic Ovary Syndrome: Common Questions and Answers.,"['Williams, Tracy', 'Moore, Justin B', 'Regehr, Jared']",2023-03-01,2023/03/polycystic-ovary-syndrome-common-questions-and-answers.md,"['Psychiatry', 'Prevention', 'Screening', 'Oncology', 'Obstetrics', 'Depression', 'Early Detection', 'Pregnancy', 'Mental Health', 'Maternal Health', 'Malignancy', 'Family Medicine', 'Cancer Screening']",['Family Medicine'],High,Maternal,36920819,,7,True
Polypill Better for Secondary Cardiovascular Prevention Than Physician-Directed Care.,"['Ebell, Mark H']",2023-03-01,2023/03/polypill-better-for-secondary-cardiovascular-prevention-than.md,['Family Medicine'],['Family Medicine'],High,Adults,36920802,,7,True
Posttraumatic Stress Disorder.,[],2023-03-01,2023/03/posttraumatic-stress-disorder.md,['Family Medicine'],['Family Medicine'],High,Adults,36920822,,7,True
Posttraumatic Stress Disorder: Evaluation and Treatment.,"['Sartor, Zachary', 'Kelley, Lance', 'Laschober, Ryan']",2023-03-01,2023/03/posttraumatic-stress-disorder-evaluation-and-treatment.md,"['Anxiety Disorders', 'Psychiatry', 'Family Medicine', 'Mental Health']",['Family Medicine'],High,Adults,36920821,,7,True
Pulmonary Nodules: Common Questions and Answers.,"['Langan, Robert C', 'Goodbred, Andrew J']",2023-03-01,2023/03/pulmonary-nodules-common-questions-and-answers.md,"['Family Medicine', 'Screening', 'Oncology', 'Early Detection', 'Prevention', 'Malignancy', 'Cancer Screening']",['Family Medicine'],High,Adults,36920823,,7,True
Reconsidering the Use of Race in Spirometry Interpretation.,"['Reddick, Bonzo']",2023-03-01,2023/03/reconsidering-the-use-of-race-in-spirometry-interpretation.md,['Family Medicine'],['Family Medicine'],High,Adults,36920807,,7,True
Risk of Ovarian Malignancy Algorithm (ROMA) for Assessing Likelihood of Ovarian Cancer.,"['Bryce, Carl']",2023-03-01,2023/03/risk-of-ovarian-malignancy-algorithm-roma-for-assessing-like.md,"['Malignancy', 'Family Medicine', 'Cancer Screening', 'Oncology']",['Family Medicine'],High,Adults,36920829,,7,True
Screening for Obstructive Sleep Apnea in Adults.,"['Mills, Justin', 'Harding, Michael C']",2023-03-01,2023/03/screening-for-obstructive-sleep-apnea-in-adults.md,"['Screening', 'Family Medicine', 'Prevention', 'Early Detection']",['Family Medicine'],High,Adults,36920826,,7,True
Self-Monitoring of Blood Glucose in Patients With Non-Insulin-Dependent Diabetes Mellitus.,"['Di Bartolo, Isha Marina', 'Gordon, Mara']",2023-03-01,2023/03/self-monitoring-of-blood-glucose-in-patients-with-non-insuli.md,"['Diabetes Mellitus', 'Endocrinology', 'Family Medicine', 'Metabolic Disorders']",['Family Medicine'],High,Adults,36920833,,7,True
Spirometry: A Simple Test for Breathing Problems.,[],2023-03-01,2023/03/spirometry-a-simple-test-for-breathing-problems.md,['Family Medicine'],['Family Medicine'],High,Adults,36920816,,7,True
Suspicious Lesion Under a Face Mask.,"['Carek, Stephen', 'Crowe, Christian']",2023-03-01,2023/03/suspicious-lesion-under-a-face-mask.md,['Family Medicine'],['Family Medicine'],High,Adults,36920831,,7,True
Tocilizumab Beneficial for Adults With Persistent Polymyalgia Rheumatica Symptoms Who Receive Steroid Therapy.,"['Slawson, David C']",2023-03-01,2023/03/tocilizumab-beneficial-for-adults-with-persistent-polymyalgi.md,['Family Medicine'],['Family Medicine'],High,Adults,36920801,,7,True
Viloxazine (Qelbree) for ADHD.,"['Goodell, Kristen', 'Erlich, Deborah']",2023-03-01,2023/03/viloxazine-qelbree-for-adhd.md,['Family Medicine'],['Family Medicine'],High,Adults,36920832,,7,True
Accuracy of Point-of-Care Rapid Antigen Tests for Diagnosis of COVID-19.,"['Clebak, Karl T', 'Snyder, Jessica', 'Felix, Todd M']",2023-04-01,2023/04/accuracy-of-point-of-care-rapid-antigen-tests-for-diagnosis.md,['Family Medicine'],['Family Medicine'],High,Adults,37054410,,6,True
Ankle Pain and Rash.,"['Walsh, Keifer', 'Bowen, Alexis', 'Cheng, Moses']",2023-04-01,2023/04/ankle-pain-and-rash.md,['Family Medicine'],['Family Medicine'],High,Adults,37054424,,6,True
Bell Palsy.,[],2023-04-01,2023/04/bell-palsy.md,['Family Medicine'],['Family Medicine'],High,Adults,37054420,,6,True
Bell Palsy: Rapid Evidence Review.,"['Dalrymple, Sarah N', 'Row, Jessica H', 'Gazewood, John']",2023-04-01,2023/04/bell-palsy-rapid-evidence-review.md,"['Family Medicine', 'Pregnancy', 'Maternal Health', 'Obstetrics']",['Family Medicine'],High,Pediatric,37054419,,6,True
Chronic Asthma Treatment: Common Questions and Answers.,"['Raymond, Tyler J', 'Peterson, Thomas A', 'Coulter, Jessica']",2023-04-01,2023/04/chronic-asthma-treatment-common-questions-and-answers.md,['Family Medicine'],['Family Medicine'],High,Pediatric,37054412,,6,True
Commercial Oats and Patients With Celiac Disease.,"['Ehrlich, Alan M']",2023-04-01,2023/04/commercial-oats-and-patients-with-celiac-disease.md,['Family Medicine'],['Family Medicine'],High,Adults,37054433,,6,True
Diary of a Family Physician.,"['Chavez, Annette']",2023-04-01,2023/04/diary-of-a-family-physician.md,['Family Medicine'],['Family Medicine'],High,Adults,37054425,,6,True
Does the Consumption of Red and Processed Meats Increase the Risk of Cancer?,"['Christensen, Linsey', 'Calquin, Matias', 'Daly, Sarah']",2023-04-01,2023/04/does-the-consumption-of-red-and-processed-meats-increase-the.md,"['Malignancy', 'Family Medicine', 'Cancer Screening', 'Oncology']",['Family Medicine'],High,Adults,37054422,,6,True
Electronic Cigarettes for Smoking Cessation.,"['Sonoda, Kento', 'Kuroda, Kaku']",2023-04-01,2023/04/electronic-cigarettes-for-smoking-cessation.md,['Family Medicine'],['Family Medicine'],High,Adults,37054408,,6,True
Improved Decongestion With the Addition of Acetazolamide to Intravenous Loop Diuretics for Acute Heart Failure.,"['Kulkarni, Nita Shrikant']",2023-04-01,2023/04/improved-decongestion-with-the-addition-of-acetazolamide-to.md,['Family Medicine'],['Family Medicine'],High,Adults,37054426,,6,True
Intravenous Iron Replacement for Iron Deficiency Anemia [FPIN's Clinical Inquiries].,"['Cooper, Barry']",2023-04-01,2023/04/intravenous-iron-replacement-for-iron-deficiency-anemia-fpin.md,['Family Medicine'],['Family Medicine'],High,Adults,37054432,,6,True
Invitation to a Single Colonoscopy Has Only Modest Impact on Colorectal Cancer Incidence.,"['Ebell, Mark H']",2023-04-01,2023/04/invitation-to-a-single-colonoscopy-has-only-modest-impact-on.md,"['Family Medicine', 'Screening', 'Oncology', 'Early Detection', 'Prevention', 'Malignancy', 'Cancer Screening']",['Family Medicine'],High,Adults,37054428,,6,True
Legal Challenges for Family Physicians in the Post-Roe v Wade Era.,"['Kirchner, Emily']",2023-04-01,2023/04/legal-challenges-for-family-physicians-in-the-post-roe-v-wad.md,"['Family Medicine', 'Pregnancy', 'Maternal Health', 'Obstetrics']",['Family Medicine'],High,Adults,37054406,,6,True
Leukemia: The Basics.,[],2023-04-01,2023/04/leukemia-the-basics.md,['Family Medicine'],['Family Medicine'],High,Adults,37054417,,6,True
Leukemia: What Primary Care Physicians Need to Know.,"['Gbenjo, Joanne T C', 'McCrary, Georgia L M', 'Wilson, Sarah E']",2023-04-01,2023/04/leukemia-what-primary-care-physicians-need-to-know.md,['Family Medicine'],"['Family Medicine', 'Oncology']",High,Pediatric,37054416,,6,True
